ProjectID,ProjectName,ProjectType,Status,HoursExpended,ExpensesToDate,LaborCostEstimate,TotalCostToDate
55,Focused systemic firmware,Fixed-Price,Complete,1560.45,38105.84,517757.31,555863.15
87,User-friendly bifurcated array,Time & Materials,Complete,1712.47,7671.31,530226.38,537897.69
8,Horizontal static installation,Time & Materials,Complete,1420.88,48956.0,480067.99,529023.99
48,Team-oriented incremental flexibility,Time & Materials,Complete,1468.04,35304.91,476508.66,511813.57
16,Versatile encompassing local area network,Time & Materials,Complete,1479.81,12664.23,494239.28,506903.51
40,Centralized logistical internet solution,Fixed-Price,Complete,1529.01,12404.44,477881.88,490286.32
94,Profit-focused incremental project,Time & Materials,Complete,1532.43,21677.78,465536.91,487214.69
1,Front-line scalable synergy,Time & Materials,Complete,1346.74,36239.18,450937.93,487177.11
13,Public-key content-based hardware,Time & Materials,Complete,1381.6,34939.64,450721.67,485661.31
19,Proactive secondary solution,Fixed-Price,Complete,1427.27,21413.88,447075.68,468489.56
25,Networked sustainable help-desk,Fixed-Price,Complete,1418.1,18335.45,449282.44,467617.89
50,Innovative 24 hour instruction set,Time & Materials,Complete,1337.82,37210.95,429085.7,466296.65
113,Innovative holistic conglomeration,Fixed-Price,Complete,1348.67,22814.71,440963.39,463778.1
15,Grass-roots optimizing capacity,Fixed-Price,Complete,1432.15,20829.76,442102.32,462932.08
7,Proactive holistic data-warehouse,Time & Materials,Complete,1379.82,11689.15,451141.35,462830.5
37,Streamlined real-time intranet,Fixed-Price,Complete,1511.35,9353.66,446785.29,456138.95
82,Polarised zero tolerance implementation,Time & Materials,Complete,1334.08,31242.48,421847.21,453089.69
121,Team-oriented zero defect access,Fixed-Price,Complete,1324.44,24222.63,427999.41,452222.04
71,Distributed intangible functionalities,Time & Materials,Complete,1338.59,34968.65,416881.55,451850.2
91,Profit-focused secondary leverage,Fixed-Price,Complete,1383.24,27298.9,423919.26,451218.16
18,Quality-focused cloud-native frame,Fixed-Price,Complete,1295.1,42151.37,407496.74,449648.11
46,Reverse-engineered discrete application,Fixed-Price,Complete,1423.29,12527.34,435168.55,447695.89
43,Multi-tiered systemic conglomeration,Fixed-Price,Complete,1364.66,11122.66,431876.22,442998.88
36,Cross-platform bottom-line analyzer,Fixed-Price,Complete,1310.18,25595.75,415041.0,440636.75
34,Sharable fresh-thinking matrices,Fixed-Price,Complete,1347.86,27114.02,413316.78,440430.8
122,Public-key impactful customer loyalty,Time & Materials,Complete,1295.37,20912.13,417901.47,438813.6
22,AI-driven incremental strategy,Time & Materials,Complete,1266.27,26997.58,411031.24,438028.82
67,Persistent context-sensitive parallelism,Fixed-Price,Complete,1276.82,40403.85,397244.24,437648.09
119,Diverse motivating parallelism,Time & Materials,Complete,1347.09,16144.6,421439.35,437583.95
112,Devolved encompassing capability,Fixed-Price,Complete,1327.97,38311.95,391990.18,430302.13
124,User-centric empowering initiative,Time & Materials,Complete,1371.79,30272.74,399819.63,430092.37
123,Visionary resilient parallelism,Time & Materials,Complete,1264.39,36434.4,393414.95,429849.35
24,Balanced disintermediate intranet,Time & Materials,Complete,1326.07,19226.14,408628.47,427854.61
103,Phased context-sensitive knowledge base,Time & Materials,Complete,1314.91,23877.92,397841.36,421719.28
81,Total stable process improvement,Time & Materials,Complete,1191.36,48748.38,370779.03,419527.41
89,Seamless cohesive open architecture,Time & Materials,Complete,1227.64,28973.18,390201.28,419174.46
86,Customer-focused bifurcated standardization,Fixed-Price,Complete,1285.66,8998.68,406947.82,415946.5
53,Networked heuristic architecture,Time & Materials,Complete,1195.49,22956.66,388301.13,411257.79
99,Open-source methodical productivity,Time & Materials,Complete,1218.08,14615.0,394140.24,408755.24
95,Configurable local productivity,Fixed-Price,Complete,1246.65,12017.35,396108.49,408125.84
33,Open-architected client-driven circuit,Time & Materials,Complete,1170.85,31907.35,370730.14,402637.49
83,Secured AI-powered neural-net,Fixed-Price,Complete,1075.25,34151.02,368423.66,402574.68
74,Future-proofed tertiary customer loyalty,Time & Materials,Complete,1185.74,21377.2,380537.56,401914.76
114,Expanded 24 hour algorithm,Fixed-Price,Complete,1220.57,21671.63,378482.48,400154.11
29,Future-proofed intangible neural-net,Fixed-Price,Complete,1220.87,15669.38,374564.95,390234.33
12,Reverse-engineered composite capability,Fixed-Price,Complete,1123.42,25408.53,364422.47,389831.0
57,Front-line leading edge frame,Fixed-Price,Complete,1158.0,31533.72,355820.59,387354.31
32,Total intangible attitude,Time & Materials,Complete,1164.49,21719.16,358860.88,380580.04
44,Open-architected responsive array,Fixed-Price,Complete,1123.47,36524.73,343881.06,380405.79
65,Robust tertiary collaboration,Time & Materials,Complete,1025.87,46169.33,333847.16,380016.49
73,Distributed bottom-line concept,Fixed-Price,Complete,1134.57,14628.53,365098.95,379727.48
96,Innovative coherent paradigm,Fixed-Price,Complete,1104.48,33663.87,342416.41,376080.28
30,Digitized zero tolerance parallelism,Time & Materials,Complete,1066.45,44151.07,331196.71,375347.78
5,Innovative content-based interface,Fixed-Price,Complete,1074.87,27904.8,347209.88,375114.68
26,Customer-focused bottom-line support,Fixed-Price,Complete,1110.98,8050.84,365964.22,374015.06
97,Optimized incremental orchestration,Fixed-Price,Complete,1107.14,40190.78,333762.11,373952.89
41,Intuitive exuding solution,Time & Materials,Complete,1117.88,22014.27,347785.51,369799.78
98,Seamless immersive benchmark,Time & Materials,Complete,1030.63,4931.65,352308.84,357240.49
10,Configurable regional monitoring,Time & Materials,Complete,977.97,43235.55,312870.53,356106.08
76,Intuitive value-added hierarchy,Fixed-Price,Complete,1029.7,38348.41,317216.25,355564.66
9,Automated bottom-line generative AI,Time & Materials,Complete,1070.18,8403.76,342914.21,351317.97
78,Open-source mobile microservice,Fixed-Price,Complete,915.77,42680.61,298951.59,341632.2
4,Virtual regional website,Time & Materials,Complete,994.47,20606.81,317237.59,337844.4
47,Centralized asynchronous interface,Fixed-Price,Complete,1014.79,16134.85,320783.58,336918.43
2,Balanced systemic firmware,Fixed-Price,Complete,1073.45,22841.81,313247.02,336088.83
52,Customizable content-based local area network,Time & Materials,Complete,1011.25,17052.73,318393.75,335446.48
35,Streamlined composite capacity,Fixed-Price,Complete,971.97,14455.6,318064.22,332519.82
116,Cross-platform mobile framework,Time & Materials,Complete,1055.18,26999.13,302159.59,329158.72
90,Realigned leading edge firmware,Fixed-Price,Complete,964.37,19278.48,309472.76,328751.24
14,Grass-roots coherent neural-net,Fixed-Price,Complete,955.17,29629.22,299109.89,328739.11
39,Smart asynchronous protocol,Fixed-Price,Complete,969.63,29983.78,297527.73,327511.51
49,Automated interactive alliance,Fixed-Price,Complete,995.94,14214.4,312672.04,326886.44
77,Networked client-driven protocol,Fixed-Price,Complete,940.15,28789.14,297391.38,326180.52
31,Grass-roots fault-tolerant complexity,Fixed-Price,Complete,896.05,29406.25,296184.85,325591.1
17,Persistent leading edge software,Fixed-Price,Complete,936.1,25894.26,299431.87,325326.13
72,Focused value-added focus group,Time & Materials,Complete,979.28,12787.35,311329.43,324116.78
118,Automated directional hardware,Time & Materials,Complete,968.73,22397.35,299402.15,321799.5
60,Intuitive data-driven collaboration,Fixed-Price,Complete,909.55,27249.91,291979.19,319229.1
23,Adaptive cloud-native installation,Fixed-Price,Complete,865.48,35356.49,280125.58,315482.07
125,Front-line discrete workforce,Time & Materials,In Progress,1006.71,0.0,313992.85,313992.85
62,Universal exuding open architecture,Time & Materials,Complete,938.02,9320.24,301854.84,311175.08
100,Open-source asynchronous monitoring,Fixed-Price,Complete,852.07,24970.91,284891.02,309861.93
111,Stand-alone responsive portal,Time & Materials,Complete,839.32,18245.42,291455.27,309700.69
21,Public-key neutral intranet,Time & Materials,Complete,934.15,14593.46,294981.22,309574.68
104,Stand-alone zero trust hardware,Fixed-Price,Complete,897.14,29893.76,279028.48,308922.24
58,Fundamental optimal instruction set,Fixed-Price,Complete,846.79,27813.5,275295.66,303109.16
38,Reactive transitional service-desk,Fixed-Price,Complete,919.51,21540.57,279684.29,301224.86
64,Triple-buffered national focus group,Time & Materials,Complete,836.92,23990.59,276020.4,300010.99
45,Self-enabling national contingency,Fixed-Price,Complete,882.21,23830.43,274489.35,298319.78
6,Digitized optimizing benchmark,Fixed-Price,Complete,851.08,32570.54,265365.33,297935.87
107,Fundamental systematic parallelism,Time & Materials,Complete,844.41,32417.14,262805.72,295222.86
70,Robust zero defect installation,Fixed-Price,Complete,844.34,11726.52,280983.69,292710.21
56,Self-enabling composite knowledge base,Time & Materials,Complete,809.34,32597.68,258951.03,291548.71
54,Virtual contextually-based approach,Time & Materials,Complete,875.42,13785.88,276180.42,289966.3
102,Virtual intangible matrices,Fixed-Price,Complete,840.32,28699.47,260254.11,288953.58
63,Innovative high-level parallelism,Fixed-Price,Complete,818.2,40956.05,246781.39,287737.44
117,Public-key actuating implementation,Fixed-Price,Complete,847.22,16272.2,267660.8,283933.0
20,Face to face executive artificial intelligence,Time & Materials,Complete,833.89,9641.26,272922.47,282563.73
69,Managed responsive migration,Fixed-Price,Complete,822.64,15440.54,263963.24,279403.78
75,Networked full-range task-force,Time & Materials,Complete,730.08,35802.35,242076.28,277878.63
66,Fully-configurable homogeneous portal,Time & Materials,Complete,822.51,8116.43,265297.86,273414.29
109,Sharable mission-critical focus group,Time & Materials,Complete,754.72,23106.72,244292.8,267399.52
28,Automated data-driven firmware,Time & Materials,Complete,755.17,19576.21,245138.25,264714.46
3,Monitored 24/7 system engine,Fixed-Price,Complete,770.69,14610.76,249596.95,264207.71
110,Realigned neutral service-desk,Time & Materials,Complete,772.33,13562.58,250512.96,264075.54
11,Future-proofed zero trust hub,Fixed-Price,Complete,744.55,19672.8,236806.61,256479.41
59,Customer-focused optimal system engine,Time & Materials,Complete,707.05,31256.37,222585.23,253841.6
79,Open-architected modular task-force,Fixed-Price,Complete,714.06,39374.78,213521.79,252896.57
61,Upgradable mobile instruction set,Fixed-Price,Complete,756.86,12443.1,240271.51,252714.61
108,Robust next generation analyzer,Time & Materials,Complete,747.46,9719.03,236328.17,246047.2
27,Devolved discrete circuit,Time & Materials,Complete,772.48,11839.27,233869.61,245708.88
68,Devolved value-added hub,Fixed-Price,Complete,726.61,13605.92,227344.16,240950.08
92,Focused transitional approach,Time & Materials,Complete,729.65,14048.45,223777.57,237826.02
120,User-centric coherent help-desk,Fixed-Price,Complete,674.16,15530.29,213500.85,229031.14
106,Implemented coherent middleware,Time & Materials,Complete,698.1,11353.25,214513.33,225866.58
84,Reverse-engineered zero tolerance alliance,Time & Materials,Complete,658.57,11707.16,212418.46,224125.62
85,Reactive impactful complexity,Time & Materials,Complete,621.99,21165.89,202389.33,223555.22
115,Adaptive coherent customer loyalty,Time & Materials,Complete,652.25,18026.76,201171.29,219198.05
88,Polarised reciprocal workforce,Time & Materials,Complete,556.22,28980.62,166834.48,195815.1
105,User-centric fresh-thinking microservice,Time & Materials,Complete,553.03,24901.21,163283.95,188185.16
42,Total optimizing alliance,Time & Materials,Complete,548.56,10362.43,174165.06,184527.49
51,Virtual logistical hub,Time & Materials,Complete,540.35,15801.0,166956.44,182757.44
93,Decentralized discrete core,Time & Materials,Complete,456.37,27139.82,140379.41,167519.23
101,Upgradable next generation task-force,Fixed-Price,Complete,377.86,28514.61,122958.16,151472.77
80,Public-key high-level function,Time & Materials,Complete,369.93,26638.99,118653.81,145292.8
126,Managed national website,Fixed-Price,In Progress,0.0,0.0,0.0,0.0
